"severity","message","location","rule"
"info","Don't use 'BuildContext's across async gaps","lib\screens\enhanced_notification_screen.dart:89:56","use_build_context_synchronously"
"warning","The declaration '_showCustomSnoozePicker' isn't referenced","lib\screens\enhanced_notification_screen.dart:521:16","unused_element"
"info","Unnecessary braces in a string interpolation","lib\screens\enhanced_notification_screen.dart:1609:60","unnecessary_brace_in_string_interps"
"info","Unnecessary use of 'toList' in a spread","lib\screens\enhanced_notification_screen.dart:1721:103","unnecessary_to_list_in_spreads"
"info","'activeColor' is deprecated and shouldn't be used. Use activeThumbColor or activeTrackColor instead. This feature was deprecated after v3.31.0-2.0.pre","lib\screens\enhanced_notification_screen.dart:1801:9","deprecated_member_use"
"info","The private field _consentGranted could be 'final'","lib\screens\family_member_detail_screen.dart:30:8","prefer_final_fields"
"info","Use 'isNotEmpty' instead of 'length' to test whether the collection is empty","lib\screens\family_member_detail_screen.dart:144:13","prefer_is_empty"
"info","Parameter 'key' could be a super parameter","lib\screens\family_panel_screen.dart:15:9","use_super_parameters"
"warning","The value of the field '_familyService' isn't used","lib\screens\family_panel_screen.dart:24:23","unused_field"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:211:52","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:224:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:227:37","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:242:81","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:256:56","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:257:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:260:41","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:264:56","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:265:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:273:54","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:274:30","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:277:39","use_build_context_synchronously"
"info","Unnecessary use of 'toList' in a spread","lib\screens\family_panel_screen.dart:804:18","unnecessary_to_list_in_spreads"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:815:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:829:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:853:28","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:856:37","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\family_panel_screen.dart:887:28","use_build_context_synchronously"
"warning","Unnecessary cast","lib\screens\family_panel_screen.dart:1495:71","unnecessary_cast"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:400:35","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\login_form_screen.dart:428:30","use_build_context_synchronously"
"info","'groupValue' is deprecated and shouldn't be used. Use a RadioGroup ancestor to manage group value instead. This feature was deprecated after v3.32.0-0.0.pre","lib\screens\login_form_screen.dart:487:21","deprecated_member_use"
"info","'onChanged' is deprecated and shouldn't be used. Use RadioGroup to handle value change instead. This feature was deprecated after v3.32.0-0.0.pre","lib\screens\login_form_screen.dart:488:21","deprecated_member_use"
